intraday_price,market_cap,price_change,stock_name,volume
9.39,3.193B,(-1.60%),"Peloton Interactive, Inc. (PTON)","20,110,006"
44.52,182.798B,(-0.04%),"Cisco Systems, Inc. (CSCO)","19,648,749"
91.86,105.4B,(-0.23%),Starbucks Corporation (SBUX),"20,194,308"
60.17,36.582B,(+2.04%),"Fidelity National Information Services, Inc. (FIS)","20,343,787"
18.31,17.866B,(+0.27%),Li Auto Inc. (LI),"21,855,290"
14.95,3.151B,(-0.33%),Pan American Silver Corp. (PAAS),"21,696,082"
51.57,19.217B,(-0.62%),"DoorDash, Inc. (DASH)","19,958,300"
28.93,23.017B,(+0.59%),Coterra Energy Inc. (CTRA),"22,179,151"
11.71,4.484B,(+0.94%),Bilibili Inc. (BILI),"21,998,767"
33.83,17.339B,(-0.68%),Teck Resources Limited (TECK),"10,469,658"
8.89,4.144B,(+0.56%),"New York Community Bancorp, Inc. (NYCB)","20,164,340"
11.23,75.182B,(+0.27%),Petróleo Brasileiro S.A. - Petrobras (PBR-A),"21,685,943"
260.79,116.057B,(+0.08%),"Netflix, Inc. (NFLX)","11,110,947"
6.93,5.884B,(+1.01%),Coty Inc. (COTY),"10,481,759"
10.99,2.489B,(-0.64%),Viavi Solutions Inc. (VIAV),"10,955,659"
49.03,34.505B,(-0.45%),Dow Inc. (DOW),"10,498,585"
99.58,181.54B,(-0.17%),The Walt Disney Company (DIS),"10,430,335"
132.32,168.447B,(0.00%),ConocoPhillips (COP),"10,445,247"
13.74,4.847B,(+1.67%),"Lyft, Inc. (LYFT)","11,584,992"
12.28,10.262B,(-0.98%),"Robinhood Markets, Inc. (HOOD)","10,802,022"
18.33,76.878B,(+0.76%),Infosys Limited (INFY),"10,833,443"
11.66,5.205B,(+2.74%),TechnipFMC plc (FTI),"10,166,425"
132.31,42.339B,(+0.31%),Snowflake Inc. (SNOW),"10,727,783"
70.72,16.328B,(-0.52%),"Live Nation Entertainment, Inc. (LYV)","10,859,954"
2.0300,3.656B,(-1.48%),"Globalstar, Inc. (GSAT)","10,997,860"
8.96,2.354B,(-0.56%),First Majestic Silver Corp. (AG),"11,016,573"
40.99,32.535B,(+1.00%),Newmont Corporation (NEM),"10,875,455"
1.9400,32.943B,(-2.06%),Lloyds Banking Group plc (LYG),"10,954,336"
3.9700,6.729B,(+0.76%),Tencent Music Entertainment Group (TME),"11,468,438"
8.26,4.597B,(+0.36%),Crescent Point Energy Corp. (CPG),"11,435,401"
10.81,3.376B,(+0.83%),StoneCo Ltd. (STNE),"11,426,876"
33.92,104.503B,(-0.18%),BP p.l.c. (BP),"10,657,068"
63.86,35.282B,(+0.22%),Microchip Technology Incorporated (MCHP),"11,234,144"
42.40,7.502B,(-0.12%),Alcoa Corporation (AA),"10,194,686"
18.99,9.81B,(-1.16%),"Toast, Inc. (TOST)","8,736,299"
5.75,6.373B,(0.00%),Full Truck Alliance Co. Ltd. (YMM),"11,185,575"
48.99,15.997B,(+0.33%),APA Corporation (APA),"8,846,710"
